Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_42680	76	38	26	34	23	2	18	3	15	1	21	34	43	29	4	3	38	15	91	27	21	30	4	4	103	12	20	53	13	84	54	22	113	76	24	214
OTU_42734	142	89	1	3	4	6	8	1	2	0	0	0	0	42	104	172	9	127	7	103	0	0	0	0	2	2	13	69	3	3	0	0	25	0	0	0
OTU_42801	1	7	0	1	3	2	16	2	3	3	3	1	7	3	2	11	0	33	1	9	9	42	3	1	0	3	10	2	4	6	6	2	9	5	2	2
OTU_42844	2	0	4	0	174	0	11	0	1	2	41	0	13	2	1	0	0	0	18	0	0	0	0	0	7	6	7	0	3	21	15	19	3	12	8	11
OTU_42856	4	2	2	18	13	2	6	9	16	206	3	30	3	24	1	10	1	6	9	1	14	28	1	3	109	136	61	110	30	137	166	51	57	70	17	53
OTU_42911	11	2	14	6	7	0	10	1	6	11	0	0	0	2	0	1	4	0	1	22	13	11	2	2	11	4	0	2	11	31	41	0	10	0	1	0
OTU_42933	20	18	46	53	23	8	33	3	8	7	15	19	2	11	7	13	17	30	19	55	1	33	23	15	129	38	7	19	16	9	9	12	35	19	41	15
OTU_42994	0	0	20	24	27	1	3	1	64	28	113	7	83	58	40	68	6	2	141	1	26	18	9	7	27	6	108	9	2	67	70	20	3	15	29	51
OTU_43055	3	0	153	85	95	56	144	16	44	32	78	0	0	13	75	48	55	55	34	23	0	0	71	38	181	71	25	37	217	19	23	4	2	7	76	0
OTU_43105	14	6	10	11	4	3	28	1	13	6	20	15	1	0	7	2	7	19	32	96	7	77	9	1	16	22	6	17	9	4	0	33	32	32	57	4
OTU_43128	41	5	3	18	3	9	32	9	12	10	11	1	4	6	7	23	13	32	1	2	0	3	13	2	13	33	45	10	12	9	59	19	15	4	6	5
OTU_43147	30	20	8	15	56	15	53	7	3	3	0	5	3	9	8	6	34	18	21	31	15	21	5	5	6	4	1	12	1	5	14	0	36	1	7	0
OTU_43169	4	66	33	60	5	18	16	5	86	225	0	1	0	34	21	192	91	58	20	144	21	68	42	5	18	39	38	24	2	77	24	0	49	25	0	0
OTU_43222	9	22	16	24	10	14	21	5	15	13	0	5	1	1	1	4	36	54	16	17	0	15	33	13	39	17	0	10	11	4	7	2	3	9	2	0
OTU_43241	19	9	7	39	13	10	23	15	2	11	6	14	2	5	17	15	24	3	7	7	10	13	7	4	13	18	25	20	25	6	8	9	20	11	19	11
OTU_43259	30	26	20	20	13	7	25	3	9	4	8	22	4	4	7	6	69	16	12	79	2	23	15	4	57	12	10	9	37	11	6	11	36	12	28	6
OTU_43273	17	21	38	18	8	1	19	2	8	2	8	7	33	32	5	7	20	82	24	26	7	32	104	58	49	83	18	10	11	8	2	3	17	40	18	33
OTU_43301	5	1	1	0	0	0	27	4	83	55	67	11	25	42	47	26	0	0	104	0	24	40	26	13	11	14	67	7	27	18	72	8	9	8	20	13
OTU_43320	1	0	22	0	1	0	4	0	7	0	20	14	5	0	0	0	0	0	94	0	144	11	12	0	48	44	202	140	39	21	71	98	56	20	2	23
OTU_43360	9	43	1	14	1	4	7	2	8	10	1	6	1	3	0	19	4	140	8	45	2	8	7	6	14	9	2	4	4	16	4	4	10	10	13	8
OTU_43386	54	29	41	29	91	36	28	4	14	5	0	7	0	6	12	6	63	0	5	1	1	21	28	14	39	17	4	26	15	8	15	0	69	14	1	2
OTU_43407	18	20	51	29	19	17	36	5	9	6	31	16	4	10	15	32	17	51	7	51	3	59	23	17	77	22	13	7	21	18	7	31	26	32	66	65
OTU_43446	9	62	7	211	27	39	16	32	18	22	45	6	19	91	9	43	20	10	50	15	16	16	21	48	9	7	27	16	8	41	12	5	2	3	60	17
OTU_43487	0	8	15	68	104	3	13	9	43	27	158	13	41	25	16	131	1	3	128	4	164	95	19	10	26	27	213	44	7	119	44	37	7	11	50	28
OTU_43516	14	23	0	1	0	0	9	2	0	2	0	0	0	0	0	2	1	47	0	0	0	0	7	0	3	12	0	8	2	0	0	0	1	0	0	0
OTU_43530	7	4	31	28	5	3	24	2	5	7	27	9	10	8	4	1	19	29	14	32	7	27	11	8	30	6	4	8	34	6	1	13	10	3	68	30
OTU_43552	415	551	215	623	0	0	1	0	130	48	2	0	0	258	1	3	441	43	166	3617	0	6	125	209	1549	14	3	290	2	986	302	0	1076	36	2	1
OTU_44169	8	4	17	0	12	1	20	0	1	1	0	0	0	0	92	14	71	13	6	7	0	0	31	3	4	28	46	5	25	29	6	1	25	7	6	0
OTU_44184	16	14	7	7	8	5	12	5	10	2	2	2	1	1	6	2	7	28	2	16	2	15	6	6	23	7	0	4	8	5	2	2	24	8	17	2
OTU_44208	24	16	12	18	0	0	9	6	5	4	7	6	11	13	3	8	12	11	14	38	4	16	0	7	17	5	4	7	6	13	2	5	37	8	15	8
OTU_44217	6	14	23	30	8	8	18	5	7	8	12	6	1	7	4	15	11	42	4	28	3	25	6	12	54	13	11	4	12	9	10	13	17	11	24	11
OTU_44238	2	5	13	12	10	3	38	7	9	9	0	0	1	3	0	0	24	96	21	136	0	1	2	4	15	1	0	5	4	38	18	0	0	31	4	1
OTU_44266	0	1	2	2	1	0	17	4	4	5	2	24	0	1	1	15	1	25	3	1	17	140	2	1	16	8	8	2	4	16	2	2	1	2	27	0
OTU_44278	25	10	7	36	12	8	4	3	7	10	0	27	56	28	1	1	14	0	11	30	72	50	45	17	22	72	13	12	10	23	21	0	4	8	22	125
OTU_44304	63	4	227	56	165	8	7	1	0	0	0	0	0	1	0	0	35	0	0	0	0	2	37	5	93	4	0	12	4	5	1	0	241	0	0	0
OTU_44324	2	0	20	10	25	0	0	0	3	5	1	13	62	21	21	31	0	2	14	0	14	49	1	0	35	7	114	5	34	9	156	4	1	5	14	46
OTU_44340	17	4	6	9	14	0	19	1	2	0	2	14	2	2	11	4	2	6	4	0	1	6	6	6	95	42	12	38	27	2	6	9	27	13	5	7
OTU_44356	0	0	0	0	0	0	7	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0
OTU_44365	6	31	28	14	26	3	10	1	9	10	0	23	7	10	1	3	5	57	10	67	7	241	17	7	79	29	2	13	13	10	9	3	23	26	12	26
OTU_44390	21	6	29	7	34	8	12	0	5	11	2	0	2	14	7	5	7	32	2	1	0	9	32	2	62	44	5	24	39	17	15	2	14	6	7	2
OTU_44407	53	6	30	5	40	9	47	0	7	3	10	15	4	2	18	4	41	16	16	10	5	25	15	3	30	11	4	6	28	7	5	5	32	7	30	6
OTU_44422	37	15	0	0	106	1	5	6	0	0	0	12	0	0	0	0	1	2	0	2	5	92	0	0	1	0	0	6	22	5	0	0	20	0	2	0
OTU_44431	3	0	7	14	17	11	33	7	9	13	16	27	17	37	8	36	56	29	15	7	2	22	50	26	7	240	50	4	256	62	1	17	3	7	52	28
OTU_44460	39	38	38	30	21	11	59	3	5	8	1	14	11	17	7	4	22	64	16	7	1	34	30	21	83	23	13	19	45	14	14	1	54	8	6	48
OTU_44479	10	14	3	6	6	3	26	3	2	1	0	11	1	4	5	3	6	62	4	40	2	13	5	5	69	35	9	22	38	11	8	19	40	22	27	17
OTU_44501	8	0	0	1	11	18	9	1	1	1	0	0	0	5	0	0	2	469	26	343	0	1	26	9	1	14	0	12	0	6	0	2	8	53	2	0
OTU_44542	0	0	0	1	0	0	3	0	1	2	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
OTU_44577	0	1	3	0	1	0	0	2	0	0	8	109	5	2	0	0	0	0	18	1	8	5	8	0	106	126	369	197	122	3	43	154	41	35	2	103
OTU_44636	18	34	5	10	3	1	23	1	3	4	2	2	0	5	2	4	27	28	3	33	0	5	5	2	9	0	1	3	6	8	1	4	12	6	10	2
OTU_44644	191	73	6	12	6	9	51	77	24	21	3	1	0	2	3	9	53	1	2	0	0	0	10	15	122	30	14	50	169	103	166	7	29	3	1	0
OTU_44719	44	25	11	13	23	15	25	5	4	4	0	11	0	2	10	5	24	30	10	19	10	15	23	11	29	25	16	28	80	14	8	0	55	8	14	0
OTU_44734	8	6	1	9	12	4	8	2	3	0	3	7	4	3	4	2	15	33	4	25	9	29	6	4	10	10	1	6	1	3	3	4	4	5	13	11
OTU_44749	15	12	2	17	3	1	3	3	6	9	2	7	2	3	2	2	4	4	5	0	3	7	5	5	17	17	5	19	3	19	30	11	9	7	5	6
OTU_44763	16	14	13	69	6	1	27	12	15	23	1	16	2	8	0	5	1	22	6	1	3	12	30	59	25	48	1	8	107	27	15	0	11	3	6	17
OTU_44780	30	11	35	18	30	7	36	1	8	3	14	13	6	8	10	6	37	44	18	26	3	25	42	6	63	27	6	21	24	10	11	5	49	6	15	6
OTU_44804	3	3	1	10	10	5	2	0	0	5	1	2	1	4	0	1	6	35	6	21	0	7	5	3	17	3	0	16	4	10	3	4	7	4	10	1
OTU_44826	21	32	0	0	243	123	0	0	0	0	2	0	0	1	0	0	14	0	0	0	0	0	7	0	0	2	0	7	2	3	1	0	22	1	0	0
OTU_44860	2	3	5	7	17	10	4	0	2	1	11	0	0	3	11	1	16	7	1	1	0	4	18	5	8	15	1	0	7	2	1	1	6	0	4	1
OTU_44871	3	1	1	1	0	0	2	1	5	10	0	0	0	0	0	0	1	2	0	0	0	0	0	0	7	2	2	0	0	4	11	0	2	0	0	0
OTU_44907	40	120	53	145	0	0	30	24	20	17	47	7	19	47	2	8	21	173	1	108	28	32	17	102	45	13	1	0	28	43	36	0	23	24	417	38
OTU_44943	8	3	11	7	6	5	39	3	7	0	5	4	2	4	5	2	12	14	9	15	5	10	9	0	17	4	2	10	7	10	3	2	6	8	8	3
OTU_44950	2	1	3	13	15	0	1	2	0	1	3	1	3	1	0	1	2	0	4	1	0	9	0	0	20	4	4	9	6	6	4	3	2	23	6	4
OTU_44954	2	1	0	0	0	0	14	13	2	1	0	98	29	120	0	0	16	0	19	0	1	12	0	9	5	0	3	0	13	1	4	2	0	6	7	10
OTU_44961	0	0	4	1	2	0	7	5	0	1	0	3	0	1	0	0	0	4	9	0	0	5	0	0	4	2	0	13	51	30	0	0	0	29	5	17
OTU_44969	21	31	19	15	28	11	26	4	10	6	7	17	2	11	8	4	9	15	10	52	5	30	17	7	46	8	6	10	16	13	7	7	28	19	24	9
OTU_45005	57	27	124	69	66	28	90	6	19	9	30	26	4	19	28	10	75	57	40	63	5	24	65	15	232	59	21	41	57	28	9	51	126	43	67	26
OTU_45075	1	1	1	17	3	2	1	0	0	0	0	3	3	3	1	3	4	7	2	12	3	14	1	1	3	3	3	1	3	5	8	3	7	0	7	12
OTU_45086	94	18	10	29	0	0	447	24	7	2	0	3	0	2	0	1	59	114	99	10	1	2	75	26	1	25	0	17	28	8	39	2	24	29	2	1
OTU_45108	35	34	52	22	48	24	34	4	21	41	32	4	3	11	15	8	53	112	5	33	0	15	15	14	71	32	28	21	20	66	22	32	28	7	78	5
OTU_45147	49	7	8	3	189	82	0	0	9	28	0	0	0	8	0	0	21	15	19	1	0	0	63	15	2	26	0	26	0	3	12	0	120	5	0	0
OTU_45171	16	17	5	14	22	3	13	1	3	7	6	10	12	6	8	3	6	15	4	3	0	10	6	4	24	14	11	13	14	22	14	6	29	9	14	17
OTU_45183	1	9	14	68	72	1	9	8	37	15	144	15	77	105	24	99	0	3	115	0	80	32	34	16	12	17	82	11	10	58	29	49	6	16	39	42
OTU_45226	10	6	12	15	3	8	12	2	3	4	0	6	2	4	3	5	4	7	2	34	1	33	4	1	25	6	12	1	15	6	12	0	14	13	6	4
OTU_45237	3	9	3	6	2	0	0	0	0	1	0	0	2	6	0	2	2	0	3	13	0	0	2	4	4	2	0	2	11	3	2	6	25	2	3	0
OTU_45249	8	6	15	1	9	0	22	0	1	1	6	2	4	5	5	1	4	16	13	22	0	2	13	1	12	9	3	0	3	1	3	5	8	5	4	6
OTU_45260	5	7	1	2	1	2	5	14	0	1	0	0	0	0	0	5	14	18	0	0	0	0	7	4	2	4	5	0	13	3	0	0	18	0	0	0
OTU_45271	19	1	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	8	0	0	0	7	0	0	37	0	7	0	0	0	27	62	2	27	0
OTU_45273	29	41	17	16	12	6	25	2	8	6	52	16	10	18	4	9	11	22	7	22	4	61	14	2	38	12	1	2	16	1	0	40	26	11	60	21
OTU_45302	20	7	3	21	5	4	3	1	4	12	1	0	0	7	0	6	24	51	9	10	0	0	3	9	15	10	0	5	14	44	17	4	3	11	0	0
OTU_45319	3	1	5	16	0	0	0	0	0	0	0	0	0	2	0	0	6	41	0	30	0	0	24	43	15	17	0	2	0	19	1	0	14	1	0	0
OTU_45324	34	4	0	20	3	4	0	0	12	7	0	0	0	1	11	45	8	13	2	3	0	0	10	4	11	10	38	6	0	16	2	0	7	1	0	0
OTU_45329	23	30	6	0	0	0	9	3	2	0	1	1	2	2	4	5	3	11	0	2	2	5	2	3	6	5	7	2	3	4	3	2	23	5	2	4
OTU_45343	9	25	6	13	2	7	2	4	4	14	4	4	0	2	3	9	3	32	0	50	2	31	6	9	43	2	1	12	8	6	3	4	12	6	18	6
OTU_45357	44	45	68	141	126	52	46	20	36	55	141	17	45	111	86	155	51	33	103	38	55	134	147	30	82	29	74	40	34	57	24	44	53	8	154	51
OTU_45403	9	43	3	83	19	16	9	23	8	27	8	10	10	37	7	32	3	4	8	8	7	13	6	22	36	36	34	31	16	16	17	16	10	19	17	21
OTU_45431	2	5	10	9	8	7	1	2	3	1	2	3	5	4	1	3	0	23	1	14	0	15	5	9	13	11	7	3	10	5	4	2	7	6	9	14
OTU_45439	26	7	8	28	1	0	6	16	0	1	0	0	0	3	4	17	2	0	5	2	0	1	1	1	1	9	18	2	2	3	9	3	3	0	2	0
OTU_45445	38	7	34	22	52	4	48	4	21	11	35	16	27	9	15	11	18	5	40	4	11	7	41	10	23	59	20	15	31	34	45	18	29	41	23	33
OTU_45470	24	25	14	32	14	4	27	3	5	2	5	2	7	7	5	6	13	8	12	7	5	4	14	4	20	4	0	10	10	14	9	2	8	10	12	15
OTU_45480	2	15	3	7	0	6	20	1	3	6	4	3	0	1	1	15	5	40	2	31	2	3	0	7	4	2	3	1	8	13	17	7	6	7	17	1
OTU_45498	0	0	0	1	0	0	29	10	1	0	0	3	0	5	0	8	0	1	0	4	2	6	0	0	1	0	2	3	180	0	2	0	7	1	0	2
OTU_45500	17	9	10	6	2	4	10	0	2	0	5	1	1	1	0	1	4	13	6	18	2	9	8	3	13	6	3	1	12	2	3	3	5	5	7	1
OTU_45509	3	0	15	0	23	0	12	0	0	0	9	0	1	0	9	0	10	0	0	0	1	0	18	0	0	4	1	0	1	0	0	0	3	0	0	0
OTU_45512	33	23	11	10	14	6	26	1	5	2	2	4	5	8	6	2	11	41	6	13	1	20	12	0	20	9	4	14	23	1	3	1	21	1	2	10
OTU_45528	7	15	12	12	9	4	21	3	4	1	4	0	2	3	3	4	13	38	5	18	1	16	7	3	37	12	2	7	9	2	5	13	24	7	23	13
OTU_45544	2	6	2	60	38	5	5	15	2	14	35	15	25	23	12	10	3	1	18	1	16	14	3	4	49	12	14	19	7	14	13	26	3	15	5	22
OTU_45569	7	8	3	5	15	0	5	3	9	18	29	4	12	13	10	26	1	2	25	1	8	17	15	5	6	6	14	2	1	11	9	2	6	4	14	10
OTU_45584	12	27	12	29	1	5	25	17	5	18	0	1	0	8	2	11	18	82	4	115	2	12	2	8	46	7	2	19	0	12	5	1	18	6	15	0
OTU_45606	1	9	4	7	2	0	1	1	5	14	9	0	0	1	1	2	5	10	0	2	1	1	0	1	65	10	0	3	3	13	0	7	2	1	26	5
OTU_45631	150	72	15	8	192	69	92	14	12	0	15	59	14	32	58	19	29	92	48	108	13	63	107	35	23	127	127	63	121	16	9	35	195	70	67	84
OTU_45663	12	23	16	34	17	15	46	24	14	12	0	1	7	31	3	6	21	98	9	75	3	19	4	16	33	14	6	17	6	20	8	0	4	16	8	29
OTU_45687	4	0	3	2	5	0	6	2	4	10	7	0	0	1	0	0	1	0	3	0	0	5	8	1	7	7	13	15	9	14	15	4	8	3	3	2
OTU_45694	0	0	5	12	0	0	0	0	6	31	0	0	0	0	1	1	3	121	9	419	0	0	0	0	2	0	0	0	0	10	4	0	0	3	0	0
OTU_45710	0	0	0	88	3	57	5	10	3	6	1	3	1	80	0	0	7	23	0	9	0	1	1	56	0	1	0	10	4	5	0	0	2	0	56	1
OTU_45727	10	7	15	10	5	3	6	0	15	6	0	0	0	1	16	47	7	3	5	8	0	2	12	8	39	55	42	11	2	3	19	0	12	3	0	2
OTU_45744	34	29	23	52	23	9	14	0	2	3	4	5	0	3	0	0	14	21	5	10	7	17	45	22	59	60	0	7	4	5	3	0	21	3	13	1
OTU_45754	10	4	6	7	11	0	10	0	1	1	2	3	1	2	1	2	5	0	5	0	3	8	0	1	12	2	1	0	5	2	2	10	8	1	10	6
OTU_45757	12	19	114	187	3	2	21	6	25	22	1	25	9	13	14	8	22	81	31	42	5	23	9	14	501	6	1	36	16	83	11	0	36	22	12	33
OTU_45797	21	12	11	3	10	0	24	0	3	0	1	7	3	2	6	0	5	4	9	5	1	6	10	2	17	19	4	4	12	0	5	5	20	10	9	3
OTU_45805	3	0	6	1	24	0	6	0	2	6	7	5	14	1	1	0	3	0	11	0	4	18	7	1	16	11	5	8	14	1	5	7	11	3	2	15
OTU_45811	11	5	29	6	12	3	27	0	6	1	6	2	7	1	4	1	5	2	3	4	2	14	9	0	15	2	0	1	8	5	2	1	9	4	7	3
OTU_45817	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
OTU_45824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506	1028	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	1
OTU_45843	6	9	5	3	1	0	12	0	2	4	4	1	0	2	1	0	7	21	5	17	0	4	1	0	5	1	0	1	7	6	1	9	7	5	10	6
OTU_45851	4	3	9	9	3	5	14	6	3	0	9	2	0	5	4	3	8	20	5	19	0	3	2	3	23	3	4	3	35	8	2	54	26	3	56	3
OTU_45875	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	1	5	0	4	0	1	0	0	2	0	0	2	0	1	0	1	2	1	20	1
OTU_45885	60	69	52	118	37	34	190	16	17	13	48	14	4	19	11	17	45	132	10	50	4	33	25	16	125	17	10	9	88	23	19	56	84	16	122	13
OTU_45940	11	17	0	0	0	1	0	0	0	0	0	0	0	0	0	7	1	14	4	26	0	0	0	0	0	1	0	0	0	1	2	1	20	4	2	0
OTU_45957	20	6	6	3	4	0	3	0	4	0	3	6	3	5	5	6	5	11	11	11	4	29	7	0	22	8	7	2	6	16	5	9	29	9	24	14
OTU_45968	5	7	13	22	18	18	3	7	0	6	1	3	18	22	7	11	18	0	16	24	0	21	2	5	13	2	6	3	3	9	0	0	11	4	3	13
OTU_45980	1	0	3	2	0	0	11	0	0	3	1	5	7	1	0	0	0	1	2	0	6	15	0	0	134	2	0	43	7	1	6	0	23	7	2	3
OTU_45994	48	9	84	24	13	0	17	0	33	0	0	0	0	7	2	0	67	3	109	5	0	0	23	3	29	0	0	25	0	7	36	0	27	2	0	0
OTU_46014	9	2	9	6	4	1	6	0	2	1	2	3	3	0	4	0	9	6	2	0	2	1	14	2	14	12	2	1	4	4	3	1	2	3	1	4
OTU_46018	9	6	8	7	8	8	19	2	7	0	6	4	0	5	5	2	11	56	3	16	1	19	7	6	18	11	5	12	10	8	2	3	14	8	16	12
OTU_46026	3	1	28	13	21	0	4	0	9	1	17	2	16	1	13	3	13	0	129	0	35	5	21	1	3	1	15	4	0	8	0	6	0	0	0	2
OTU_46034	11	16	3	2	17	6	5	0	2	1	9	1	0	0	1	0	2	14	2	4	0	1	12	2	3	8	0	1	0	0	1	2	7	3	23	0
OTU_46042	0	0	1	4	20	0	0	1	21	67	21	2	24	12	1	4	0	0	24	0	9	15	4	0	4	4	14	16	2	18	13	6	5	1	3	8
OTU_46059	1	4	4	74	17	6	1	9	4	18	22	10	2	15	5	53	3	1	17	2	11	12	5	14	48	18	66	28	4	23	39	29	20	9	25	21
OTU_46081	1	7	2	11	0	3	5	1	0	0	15	2	6	7	0	0	1	0	0	5	0	2	2	2	6	1	2	8	10	6	1	11	4	2	33	22
OTU_46084	9	37	7	13	0	2	1	0	3	1	0	11	6	12	0	0	19	2	2	3	10	10	0	0	39	0	1	1	33	21	0	0	1	1	6	74
OTU_46101	7	2	5	2	4	1	2	1	4	2	1	0	2	1	6	0	3	22	6	6	1	4	4	4	12	2	1	4	1	3	6	0	11	2	3	1
OTU_46107	18	3	8	27	18	0	25	1	5	6	4	6	10	2	3	7	8	1	14	2	12	9	18	8	7	10	10	6	23	6	9	15	14	3	3	13
OTU_46120	1	1	28	34	0	0	4	0	6	3	3	1	0	0	7	4	0	105	17	14	0	0	12	2	45	6	4	4	1	15	6	1	2	13	7	0
OTU_46129	40	25	14	12	6	3	12	6	8	10	7	4	17	11	11	32	9	14	13	4	7	12	11	16	50	65	33	11	16	46	36	9	14	19	28	9
OTU_46150	0	10	6	49	20	1	4	14	7	49	7	18	4	9	7	12	2	8	11	5	20	25	6	16	86	63	29	39	24	47	27	23	32	20	30	30
OTU_46179	7	6	5	12	4	1	7	0	5	9	2	5	1	2	1	0	3	15	4	11	0	4	5	3	18	10	1	2	5	4	4	19	11	5	23	3
OTU_46198	0	0	2	8	25	0	3	3	16	108	33	9	48	41	5	3	0	0	33	0	18	38	4	10	9	7	28	26	3	22	18	9	4	5	14	20
OTU_46239	0	0	1	0	0	0	0	1	0	0	0	27	0	1	0	1	0	0	8	0	1	0	2	0	34	23	75	85	33	0	18	34	16	3	1	17
OTU_46274	0	2	0	2	1	0	42	11	0	0	1	20	2	4	5	1	3	6	1	0	22	103	3	1	3	2	2	0	35	0	0	0	1	0	21	8
OTU_46284	27	9	15	5	21	8	12	1	2	2	1	2	1	3	10	3	9	14	4	8	1	14	20	8	18	16	5	1	8	2	1	1	20	2	5	5
OTU_46289	20	1	13	6	691	202	1	0	0	1	0	0	0	3	0	1	2	34	16	12	0	0	3	0	2	1	0	6	0	16	0	1	46	14	1	0
OTU_46324	2	1	49	32	5	1	2	0	5	4	0	0	0	2	0	0	29	26	18	15	0	0	92	34	136	46	0	14	0	15	0	0	35	16	0	0
OTU_46343	8	1	7	3	7	1	10	0	2	0	5	4	4	0	2	4	6	3	3	3	3	14	5	1	12	2	0	1	7	3	3	26	9	8	17	20
OTU_46347	0	0	0	0	1	0	0	0	0	0	1	6	1	0	0	0	0	0	7	0	4	2	1	0	50	43	34	113	75	11	53	34	29	3	6	4
OTU_46393	25	1	3	2	45	13	24	2	20	10	0	17	73	12	13	26	14	3	7	4	11	38	12	4	7	15	32	3	25	14	7	0	24	4	21	48
OTU_46401	5	3	2	0	1	0	2	0	5	3	2	2	1	1	0	0	2	0	2	0	0	1	0	0	6	4	9	4	6	5	5	6	2	2	2	13
OTU_46404	61	37	0	0	5	1	0	1	2	3	0	0	0	0	0	0	3	2	0	0	0	1	4	6	0	60	15	0	1	10	32	0	14	4	1	0
OTU_46411	10	9	9	12	4	0	0	0	3	0	0	0	0	2	0	0	10	4	4	123	0	0	4	5	61	1	0	7	0	123	16	0	26	0	0	0
OTU_46451	12	19	17	21	22	31	39	14	5	20	0	1	0	6	7	16	11	26	1	64	0	10	10	32	49	15	11	17	22	4	3	1	19	5	9	0
OTU_46465	4	0	3	1	3	0	44	6	1	1	1	2	9	0	3	0	1	2	9	0	0	1	11	1	1	16	12	2	42	6	17	0	6	6	0	3
OTU_46471	16	13	7	10	3	3	16	2	6	2	7	18	2	5	9	3	12	38	5	17	1	15	10	2	26	16	11	7	28	7	7	13	18	6	24	9
OTU_46484	0	0	0	0	9	0	1	0	10	3	33	1	26	31	3	11	0	0	23	1	12	2	2	0	10	3	16	2	2	16	23	16	1	14	3	25
OTU_46495	3	3	6	6	4	2	0	0	3	0	1	6	0	2	4	5	1	5	4	1	1	18	1	5	24	1	4	0	1	2	3	2	1	1	3	13
OTU_46498	3	5	3	21	0	3	18	17	9	16	4	0	0	7	1	16	14	2	10	73	0	1	15	24	14	5	1	1	6	26	10	2	14	7	35	1
OTU_46504	2	0	2	11	25	0	4	5	2	51	8	30	10	3	5	2	2	1	6	1	10	39	5	4	78	49	13	46	13	37	19	38	41	39	6	45
OTU_46528	6	5	8	1	7	0	33	6	15	5	8	2	1	2	10	4	1	20	0	1	1	5	10	7	21	1	9	5	6	9	1	3	2	4	6	2
OTU_46534	1	7	14	11	4	8	11	6	1	2	0	32	8	26	1	0	26	17	7	0	1	2	1	5	17	3	0	4	7	7	0	0	20	10	13	9
OTU_46565	2	0	2	1	1	0	3	0	1	0	0	0	5	5	0	0	1	5	0	3	0	2	0	2	3	1	0	1	1	6	1	0	4	1	3	7
OTU_46575	16	17	7	3	18	2	13	3	2	1	3	4	3	4	4	1	7	42	10	46	0	6	7	4	8	7	1	9	10	10	0	5	17	1	17	3
OTU_46591	2	0	4	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	1	0	6	6	1	0	79	1	0	85	6	1	69	2	180	1	5	18
OTU_46613	0	4	27	17	5	2	27	1	2	1	1	5	2	1	2	4	1	1	2	75	2	14	0	1	27	0	1	4	13	7	3	5	2	8	6	12
OTU_46625	4	7	8	7	3	1	4	1	2	0	0	1	1	1	1	2	6	16	0	19	2	1	2	1	39	6	2	3	4	5	1	6	5	1	17	7
OTU_46632	0	0	1	10	6	1	1	0	3	17	10	9	2	11	2	13	0	1	13	1	1	5	0	7	53	12	39	7	0	21	35	15	0	11	10	13
OTU_46646	10	24	11	117	32	5	35	12	3	12	14	59	8	20	12	14	7	8	35	4	24	19	21	19	218	99	33	59	30	52	39	44	35	130	35	50
OTU_46666	0	0	4	3	10	0	2	0	7	12	16	6	18	10	1	1	3	1	34	1	10	7	0	1	47	8	21	8	3	13	11	10	1	19	4	19
OTU_46689	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	3	0	0	0	0	0	9	13	38	31	20	1	14	17	30	7	2	0
OTU_46701	0	1	28	70	34	2	5	1	5	13	72	7	23	6	6	6	1	0	126	0	54	54	7	3	65	16	20	13	10	19	10	28	17	7	7	5
OTU_46731	4	1	2	2	22	11	1	0	4	1	0	0	0	1	0	1	8	25	3	6	0	0	30	9	5	19	0	8	1	1	1	0	1	1	0	0
OTU_46738	0	0	1	1	15	2	10	1	0	0	0	0	0	0	0	0	0	4	2	0	0	0	6	0	1	3	0	0	0	1	0	2	0	2	0	0
OTU_46739	4	1	2	1	8	0	1	1	1	4	4	5	3	3	0	0	2	1	6	0	5	12	4	1	5	8	0	6	8	7	6	2	3	1	6	15
OTU_46742	5	9	1	9	4	2	16	3	3	0	3	3	1	3	5	3	2	10	6	5	1	16	4	2	24	1	1	7	4	6	2	0	10	9	1	1
OTU_46750	1	4	2	93	30	4	0	7	1	34	43	19	7	17	11	73	0	2	24	1	18	29	10	9	53	32	71	41	5	50	27	36	10	11	27	17
