Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_39316	139	88	1	5	0	1	9	1	12	70	0	0	0	66	3	58	3	15	35	14	2	2	9	14	0	75	7	57	0	48	14	1	79	32	0	0
OTU_39396	9	4	4	125	26	1	24	61	18	111	6	49	14	64	11	22	4	11	17	2	17	45	20	15	145	104	51	119	88	85	76	74	60	39	52	74
OTU_39472	32	8	36	64	55	18	244	37	11	7	34	4	0	0	32	34	17	19	25	19	4	11	19	20	13	18	80	6	57	14	13	3	30	21	29	0
OTU_39504	76	91	60	67	32	19	102	26	13	12	0	7	22	30	0	0	0	76	44	230	7	22	32	11	53	17	0	12	48	17	27	0	103	21	8	18
OTU_39540	39	16	32	24	68	20	52	4	13	26	13	25	12	22	43	19	11	278	9	45	3	27	55	12	110	58	61	33	87	39	24	58	41	21	49	43
OTU_39593	12	16	31	32	75	57	14	8	3	6	14	73	7	32	9	8	15	52	57	47	31	343	11	9	15	10	4	12	12	8	25	5	25	35	82	2
OTU_39649	40	3	10	3	7	1	39	34	18	21	0	42	49	49	9	64	7	7	11	6	34	251	1	1	22	31	10	84	0	31	59	0	124	27	26	123
OTU_39684	40	30	81	110	0	1	23	5	23	53	0	93	1	19	0	0	0	142	31	166	50	266	115	39	121	129	1	39	75	19	6	1	120	2	70	14
OTU_39743	30	0	34	0	21	9	37	0	26	0	9	4	7	1	4	0	51	24	16	11	3	13	23	0	5	1	3	6	8	3	3	7	10	7	14	20
OTU_39748	5	0	1	8	11	0	0	1	6	117	5	94	13	14	4	3	4	3	8	0	41	174	0	4	51	34	24	267	6	111	48	111	79	29	19	149
OTU_39794	67	14	12	2	404	170	1	0	18	48	0	0	0	18	0	0	41	62	60	8	0	1	138	27	6	41	0	43	0	8	13	0	237	20	0	0
OTU_39854	4	2	12	15	37	3	2	5	1	119	8	119	7	40	8	3	0	1	15	0	8	76	10	3	387	335	70	352	102	162	110	108	164	146	11	109
OTU_39944	8	3	45	49	24	7	4	0	41	9	9	6	0	6	23	10	26	45	49	56	0	2	31	10	75	32	16	46	5	19	28	13	56	49	19	0
OTU_39992	0	0	0	0	0	0	884	146	0	0	0	104	139	147	0	0	0	0	0	0	116	814	0	0	0	0	0	0	709	0	0	0	1	0	98	227
OTU_40048	36	7	38	37	93	5	48	14	16	26	92	90	38	32	20	6	9	4	104	3	39	37	14	6	339	199	95	113	96	104	113	368	190	120	64	326
OTU_40141	32	23	2	0	0	0	50	20	76	61	141	25	31	72	103	75	0	1	137	0	94	106	96	38	8	30	80	7	17	22	43	14	39	9	88	15
OTU_40205	4	7	7	43	18	1	15	14	9	22	21	29	21	41	3	12	3	1	35	3	35	34	26	11	92	76	31	79	36	40	48	44	65	44	24	70
OTU_40251	63	74	47	70	34	46	81	18	22	16	15	36	0	32	51	169	43	17	14	105	18	120	40	25	83	33	67	33	97	19	11	17	86	30	39	6
OTU_40313	10	0	14	1	356	14	1	0	6	6	8	0	0	16	0	0	24	7	0	1	0	13	166	16	1	29	0	71	0	2	12	2	12	0	3	0
OTU_40346	5	0	0	0	180	14	225	5	0	0	0	7	0	0	0	0	0	0	0	0	1	43	1	1	0	1	0	2	648	0	0	0	7	0	1	0
OTU_40377	7	1	2	9	10	0	1	2	12	167	4	141	22	25	0	3	7	2	10	0	74	282	3	6	77	40	40	345	16	131	46	142	110	35	28	197
OTU_40444	45	26	24	20	69	35	119	15	9	3	2	0	0	10	27	21	41	48	7	14	0	0	6	5	38	8	10	59	51	28	10	0	79	2	2	0
OTU_40485	12	1	23	62	173	4	27	13	18	85	70	129	47	71	20	25	7	6	56	1	56	87	55	18	381	326	104	226	81	91	89	264	167	144	75	150
OTU_40578	1	1	3	1	2	0	465	199	0	0	0	1883	1083	1492	1	0	2	0	0	2	2517	13198	4	1	1	0	1	7	1372	1	0	2	3	2	2508	6608
OTU_41131	47	11	13	14	27	2	22	3	11	1	32	15	7	8	14	1	24	8	6	2	4	4	18	2	69	69	35	99	72	22	8	82	82	54	22	22
OTU_41172	11	20	20	30	9	8	18	8	6	6	20	20	4	16	10	14	11	164	14	96	2	42	15	14	134	32	17	12	22	34	4	71	54	16	65	66
OTU_41207	48	31	3	2	1	0	50	30	55	64	127	17	34	57	101	81	0	0	126	0	81	117	112	43	16	24	84	34	13	14	29	15	26	2	64	14
OTU_41258	36	85	85	44	2	3	39	8	19	8	46	0	0	8	9	68	4	141	15	150	0	0	39	12	58	7	2	3	52	18	9	0	43	3	154	0
OTU_41302	3	0	3	7	14	0	2	0	5	31	6	55	16	20	2	3	1	3	12	0	22	45	7	1	191	165	77	135	27	83	83	135	91	93	21	414
OTU_41362	45	51	43	0	89	0	72	0	294	15	305	0	83	1	125	2	20	1	273	2	1256	181	150	0	2	0	0	0	0	0	2	1	0	0	1	0
OTU_41481	162	57	4	5	1	0	210	28	43	7	11	6	1	5	7	106	37	9	28	0	1	1	12	2	4	56	37	10	8	37	17	1	25	4	12	0
OTU_41506	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	3	1	6	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_41585	14	8	15	27	16	12	103	11	2	0	7	9	2	10	0	1	15	197	5	37	1	21	35	25	61	44	0	22	41	47	1	3	36	1	12	3
OTU_41605	19	56	19	24	6	10	76	19	0	2	58	12	1	4	3	5	5	157	16	141	1	42	7	4	109	9	7	6	80	29	6	232	42	22	308	12
OTU_41634	24	46	11	27	18	18	12	2	8	11	1	4	0	6	8	10	6	32	6	52	4	19	1	6	55	2	9	9	10	25	31	12	61	16	10	16
OTU_41665	15	7	8	9	2	2	23	8	6	4	1	5	0	4	3	0	5	1	6	34	4	28	7	1	18	3	2	3	10	10	1	2	6	11	5	1
OTU_41667	2	3	7	5	44	33	7	5	4	18	25	13	17	18	32	20	20	53	4	12	4	56	17	2	2	18	15	3	7	5	6	49	1	6	23	13
OTU_41755	0	1	1	6	0	0	4	0	2	2	0	8	0	0	0	0	0	3	0	4	1	8	0	1	3	0	0	1	3	0	1	0	0	0	11	0
OTU_41793	36	149	0	0	0	3	59	18	17	62	2	4	1	55	2	14	16	293	0	6	4	20	1	0	28	60	1	47	30	259	23	0	10	38	40	12
OTU_41861	3	6	22	109	145	4	24	14	124	67	309	27	162	105	76	212	7	6	338	3	186	88	55	15	63	45	357	42	22	216	95	71	8	51	62	91
